Data,Hora,Abertura,Máxima,Mínima,Última,Negócios,Volume
21/02/2020,12:37:00,113700,113770,113690,113760,6170,20924
21/02/2020,12:38:00,113760,113830,113745,113810,5164,17399
21/02/2020,12:39:00,113810,113840,113715,113765,7010,26595
21/02/2020,12:40:00,113765,113795,113660,113705,8404,30652
21/02/2020,12:41:00,113705,113730,113630,113655,5478,20833
21/02/2020,12:42:00,113660,113755,113645,113745,4431,16278
21/02/2020,12:43:00,113740,113750,113705,113715,2165,7727
21/02/2020,12:44:00,113710,113780,113700,113760,2981,10768
21/02/2020,12:45:00,113760,113780,113710,113730,3338,11437
21/02/2020,12:46:00,113725,113780,113690,113710,4222,15526
21/02/2020,12:47:00,113710,113755,113690,113710,3087,11698
21/02/2020,12:48:00,113710,113775,113700,113775,2419,9180
21/02/2020,12:49:00,113775,113815,113740,113765,4891,16883
21/02/2020,12:50:00,113765,113800,113725,113770,2573,9399
21/02/2020,12:51:00,113775,113800,113745,113765,2617,9812
21/02/2020,12:52:00,113760,113835,113750,113820,3201,11005
21/02/2020,12:53:00,113820,113900,113815,113885,6216,24046
21/02/2020,12:54:00,113880,113925,113860,113915,5439,22050
21/02/2020,12:55:00,113920,113945,113905,113915,4306,16904
21/02/2020,12:56:00,113915,113935,113865,113875,4588,18531
21/02/2020,12:57:00,113875,113880,113805,113825,5771,21866
21/02/2020,12:58:00,113825,113845,113800,113805,2711,10525
21/02/2020,12:59:00,113810,113825,113750,113825,5529,20995
21/02/2020,13:00:00,113820,113860,113740,113760,6445,23337
21/02/2020,13:01:00,113760,113885,113750,113880,5201,19807
21/02/2020,13:02:00,113875,113915,113875,113900,3783,14261
21/02/2020,13:03:00,113900,113975,113885,113960,5033,19536
21/02/2020,13:04:00,113955,113955,113900,113945,3910,15208
21/02/2020,13:05:00,113940,113960,113905,113940,3520,13696
21/02/2020,13:06:00,113940,113975,113925,113965,3036,13156
21/02/2020,13:07:00,113965,114040,113950,114025,8069,33609
21/02/2020,13:08:00,114025,114060,113965,113965,7139,28437
21/02/2020,13:09:00,113970,113985,113920,113970,4870,22456
21/02/2020,13:10:00,113970,113985,113925,113940,2738,11759
21/02/2020,13:11:00,113940,114000,113930,114000,3857,15040
21/02/2020,13:12:00,113995,114035,113980,114020,4433,17557
21/02/2020,13:13:00,114025,114050,113990,113995,3076,11587
21/02/2020,13:14:00,114000,114035,113990,114005,2042,7717
21/02/2020,13:15:00,114010,114070,114005,114065,3000,10873
21/02/2020,13:16:00,114065,114095,114005,114050,7459,28665
21/02/2020,13:17:00,114050,114100,114040,114060,3619,14358
21/02/2020,13:18:00,114060,114080,114040,114080,1689,6431
21/02/2020,13:19:00,114080,114115,114070,114095,3711,15365
21/02/2020,13:20:00,114090,114125,114080,114115,3559,14250
21/02/2020,13:21:00,114115,114180,114110,114155,5917,23089
21/02/2020,13:22:00,114160,114195,114155,114170,4630,18858
21/02/2020,13:23:00,114175,114180,114115,114140,4713,18344
21/02/2020,13:24:00,114145,114190,114140,114145,3471,14368
21/02/2020,13:25:00,114145,114160,114070,114085,6637,26199
21/02/2020,13:26:00,114085,114125,114055,114110,4831,19090
21/02/2020,13:27:00,114110,114120,114040,114065,3153,12110
21/02/2020,13:28:00,114060,114095,114040,114070,2754,10784
21/02/2020,13:29:00,114070,114095,114055,114085,1581,6612
21/02/2020,13:30:00,114085,114160,114080,114115,5796,24161
21/02/2020,13:31:00,114110,114175,114105,114170,3018,13721
21/02/2020,13:32:00,114170,114220,114145,114180,6613,25999
21/02/2020,13:33:00,114180,114215,114175,114210,3435,14396
21/02/2020,13:34:00,114215,114260,114210,114245,5768,22913
21/02/2020,13:35:00,114245,114250,114195,114225,4303,17084
21/02/2020,13:36:00,114225,114240,114205,114230,2320,9814
21/02/2020,13:37:00,114230,114240,114215,114220,1368,5681
21/02/2020,13:38:00,114220,114225,114205,114215,1269,4907
21/02/2020,13:39:00,114210,114220,114145,114170,5710,21149
21/02/2020,13:40:00,114175,114185,114110,114140,5204,19857
21/02/2020,13:41:00,114135,114170,114130,114160,2083,7650
21/02/2020,13:42:00,114155,114230,114125,114210,4444,18115
21/02/2020,13:43:00,114210,114225,114135,114145,3310,13824
21/02/2020,13:44:00,114140,114160,114110,114135,3106,12194
21/02/2020,13:45:00,114140,114160,114110,114125,2453,10098
21/02/2020,13:46:00,114125,114130,114090,114110,3461,12523
21/02/2020,13:47:00,114110,114110,114025,114050,6965,25393
21/02/2020,13:48:00,114050,114060,113975,114045,7912,28476
21/02/2020,13:49:00,114045,114065,114005,114010,3137,12418
21/02/2020,13:50:00,114010,114045,113955,113975,5250,19953
21/02/2020,13:51:00,113975,114020,113965,113995,3166,11556
21/02/2020,13:52:00,113995,114065,113990,114040,4347,16800
21/02/2020,13:53:00,114040,114095,114010,114060,4108,15811
21/02/2020,13:54:00,114060,114090,114035,114085,2406,10048
21/02/2020,13:55:00,114085,114130,114065,114115,5436,21221
21/02/2020,13:56:00,114120,114130,114075,114080,2681,10074
21/02/2020,13:57:00,114080,114090,114020,114055,4890,18763
21/02/2020,13:58:00,114050,114070,113990,113995,4439,18622
21/02/2020,13:59:00,114000,114045,113970,114035,3988,15387
21/02/2020,14:00:00,114035,114110,114025,114105,4985,19414
21/02/2020,14:01:00,114105,114120,114085,114100,2644,10160
21/02/2020,14:02:00,114100,114145,114095,114140,3869,14663
21/02/2020,14:03:00,114145,114180,114125,114165,6507,24733
21/02/2020,14:04:00,114165,114185,114135,114165,2582,10040
21/02/2020,14:05:00,114165,114215,114160,114205,4748,17201
21/02/2020,14:06:00,114205,114215,114175,114195,2408,9265
21/02/2020,14:07:00,114190,114195,114145,114180,4058,15127
21/02/2020,14:08:00,114185,114185,114135,114145,2685,11158
21/02/2020,14:09:00,114150,114160,114110,114115,3172,11561
21/02/2020,14:10:00,114115,114125,114095,114105,3156,12238
21/02/2020,14:11:00,114105,114135,114105,114125,1601,5986
21/02/2020,14:12:00,114120,114135,114095,114110,1949,7293
21/02/2020,14:13:00,114115,114125,114070,114110,3427,12964
21/02/2020,14:14:00,114105,114160,114100,114145,2782,10190
21/02/2020,14:15:00,114145,114190,114140,114185,3444,12337
21/02/2020,14:16:00,114185,114195,114135,114180,3152,11570
21/02/2020,14:17:00,114175,114205,114165,114185,2832,10406
21/02/2020,14:18:00,114180,114185,114140,114140,2537,9702
21/02/2020,14:19:00,114140,114145,114110,114115,3131,11053
21/02/2020,14:20:00,114115,114135,114080,114110,4896,20861
21/02/2020,14:21:00,114115,114155,114090,114100,3296,12443
21/02/2020,14:22:00,114095,114105,114040,114080,5580,20343
21/02/2020,14:23:00,114080,114100,114075,114080,1514,5197
21/02/2020,14:24:00,114080,114125,114065,114075,3103,14721
21/02/2020,14:25:00,114080,114090,114060,114085,2035,7933
21/02/2020,14:26:00,114090,114110,114065,114105,1762,7252
21/02/2020,14:27:00,114110,114120,114090,114095,1553,6357
21/02/2020,14:28:00,114100,114120,114095,114115,933,3429
21/02/2020,14:29:00,114115,114120,114080,114110,1340,5199
21/02/2020,14:30:00,114105,114145,114100,114120,2436,9435
21/02/2020,14:31:00,114120,114150,114115,114135,1716,7476
21/02/2020,14:32:00,114135,114145,114080,114090,2788,11418
21/02/2020,14:33:00,114085,114105,114050,114065,2580,9865
21/02/2020,14:34:00,114065,114075,114000,114005,6201,24584
21/02/2020,14:35:00,114000,114020,113940,113970,8625,31606
21/02/2020,14:36:00,113970,113985,113940,113965,3496,13189
21/02/2020,14:37:00,113965,114020,113965,114000,3522,13677
21/02/2020,14:38:00,113995,114005,113980,114000,1371,5487
21/02/2020,14:39:00,114005,114065,113995,114055,4614,17069
21/02/2020,14:40:00,114055,114125,114050,114120,5881,23432
21/02/2020,14:41:00,114125,114125,114065,114090,4039,16938
21/02/2020,14:42:00,114090,114110,114070,114085,2466,12238
21/02/2020,14:43:00,114085,114105,114055,114090,2780,11567
21/02/2020,14:44:00,114090,114140,114085,114120,2684,11008
21/02/2020,14:45:00,114120,114140,114100,114130,2268,9138
21/02/2020,14:46:00,114130,114220,114115,114210,6993,25922
21/02/2020,14:47:00,114215,114235,114205,114235,4467,16797
21/02/2020,14:48:00,114235,114240,114160,114215,5861,22020
21/02/2020,14:49:00,114220,114225,114100,114125,6322,24024
21/02/2020,14:50:00,114130,114165,114105,114155,3444,13321
21/02/2020,14:51:00,114155,114195,114085,114090,6936,26668
21/02/2020,14:52:00,114090,114115,114080,114085,2990,11572
21/02/2020,14:53:00,114085,114140,114075,114120,2917,11764
21/02/2020,14:54:00,114115,114120,114080,114085,1321,4937
21/02/2020,14:55:00,114085,114095,114035,114090,4454,17799
21/02/2020,14:56:00,114090,114120,114040,114095,3851,16597
21/02/2020,14:57:00,114090,114130,114085,114100,2528,11496
21/02/2020,14:58:00,114100,114105,114055,114095,2249,8966
21/02/2020,14:59:00,114095,114135,114075,114115,2474,11388
21/02/2020,15:00:00,114110,114115,114055,114100,2695,10654
21/02/2020,15:01:00,114105,114140,114100,114130,2070,8379
21/02/2020,15:02:00,114130,114170,114125,114155,3287,13191
21/02/2020,15:03:00,114155,114175,114135,114170,1812,7353
21/02/2020,15:04:00,114170,114175,114065,114070,3877,14722
21/02/2020,15:05:00,114065,114070,114015,114025,6616,25382
21/02/2020,15:06:00,114025,114035,113985,113990,5170,20240
21/02/2020,15:07:00,113995,114025,113975,114000,3079,11467
21/02/2020,15:08:00,114005,114005,113965,113985,2607,10419
21/02/2020,15:09:00,113985,113990,113955,113965,2976,12127
21/02/2020,15:10:00,113960,114020,113950,113965,4945,20351
21/02/2020,15:11:00,113970,114005,113960,113980,2050,8562
21/02/2020,15:12:00,113985,113985,113835,113835,12504,47349
21/02/2020,15:13:00,113840,113850,113710,113720,13287,51299
21/02/2020,15:14:00,113725,113770,113665,113715,10309,40369
21/02/2020,15:15:00,113715,113765,113675,113725,6237,23997
21/02/2020,15:16:00,113725,113760,113700,113745,3437,13709
21/02/2020,15:17:00,113750,113780,113725,113750,3577,14909
21/02/2020,15:18:00,113755,113760,113710,113715,2344,9312
21/02/2020,15:19:00,113715,113750,113715,113740,1549,5594
21/02/2020,15:20:00,113740,113770,113720,113765,2126,7759
21/02/2020,15:21:00,113765,113820,113760,113785,5894,21907
21/02/2020,15:22:00,113790,113795,113730,113770,4097,15216
21/02/2020,15:23:00,113775,113810,113770,113800,2128,8374
21/02/2020,15:24:00,113805,113845,113800,113815,4427,16480
21/02/2020,15:25:00,113815,113885,113815,113880,4929,18056
21/02/2020,15:26:00,113880,113915,113850,113895,5085,19747
21/02/2020,15:27:00,113890,113900,113785,113795,6101,21609
21/02/2020,15:28:00,113800,113875,113765,113845,6000,20997
21/02/2020,15:29:00,113845,113845,113785,113795,3579,13758
21/02/2020,15:30:00,113795,113820,113685,113705,9099,34879
21/02/2020,15:31:00,113700,113740,113630,113725,10348,36521
21/02/2020,15:32:00,113725,113780,113680,113710,5498,19436
21/02/2020,15:33:00,113705,113735,113655,113720,3733,13140
21/02/2020,15:34:00,113715,113730,113685,113690,2045,7424
21/02/2020,15:35:00,113690,113700,113635,113645,4089,15934
21/02/2020,15:36:00,113640,113665,113605,113625,7200,26788
21/02/2020,15:37:00,113625,113635,113535,113560,8204,31933
21/02/2020,15:38:00,113560,113605,113550,113590,4455,17409
21/02/2020,15:39:00,113585,113615,113575,113605,2599,10031
21/02/2020,15:40:00,113605,113650,113575,113605,5509,22257
21/02/2020,15:41:00,113610,113675,113585,113670,3540,13618
21/02/2020,15:42:00,113670,113670,113610,113635,2506,9503
21/02/2020,15:43:00,113635,113660,113630,113655,1498,5793
21/02/2020,15:44:00,113650,113675,113640,113650,1665,6515
21/02/2020,15:45:00,113650,113670,113625,113660,2182,8019
21/02/2020,15:46:00,113665,113675,113595,113600,3488,13743
21/02/2020,15:47:00,113600,113620,113580,113605,2927,10414
21/02/2020,15:48:00,113605,113620,113545,113565,4161,15537
21/02/2020,15:49:00,113570,113600,113565,113575,1763,6633
21/02/2020,15:50:00,113575,113590,113555,113565,1918,7234
21/02/2020,15:51:00,113565,113570,113515,113530,5454,20395
21/02/2020,15:52:00,113530,113545,113500,113540,3671,14219
21/02/2020,15:53:00,113535,113545,113485,113515,3436,14094
21/02/2020,15:54:00,113520,113525,113460,113465,4174,16954
21/02/2020,15:55:00,113465,113540,113460,113525,5151,19967
21/02/2020,15:56:00,113520,113600,113515,113580,4887,16717
21/02/2020,15:57:00,113585,113635,113575,113590,5447,20736
21/02/2020,15:58:00,113590,113590,113515,113545,4206,16253
21/02/2020,15:59:00,113550,113560,113525,113555,1595,6495
21/02/2020,16:00:00,113560,113560,113495,113515,3540,14580
21/02/2020,16:01:00,113520,113610,113515,113595,4425,17588
21/02/2020,16:02:00,113590,113600,113560,113565,2104,8678
21/02/2020,16:03:00,113565,113580,113520,113535,2309,8746
21/02/2020,16:04:00,113535,113560,113520,113540,1952,7869
21/02/2020,16:05:00,113540,113550,113500,113535,2374,8823
21/02/2020,16:06:00,113535,113560,113500,113550,1955,7189
21/02/2020,16:07:00,113545,113575,113535,113555,1603,6343
21/02/2020,16:08:00,113550,113580,113540,113565,1377,5436
21/02/2020,16:09:00,113570,113590,113550,113580,1753,6986
21/02/2020,16:10:00,113575,113585,113510,113525,3092,13063
21/02/2020,16:11:00,113525,113555,113510,113540,1617,6904
21/02/2020,16:12:00,113540,113595,113535,113575,2983,11681
21/02/2020,16:13:00,113580,113600,113560,113595,1786,7593
21/02/2020,16:14:00,113595,113630,113570,113595,3661,14984
21/02/2020,16:15:00,113600,113655,113585,113655,4297,17168
21/02/2020,16:16:00,113655,113705,113630,113690,5989,23980
21/02/2020,16:17:00,113690,113715,113580,113610,8139,32272
21/02/2020,16:18:00,113610,113690,113605,113680,3545,14281
21/02/2020,16:19:00,113680,113730,113655,113730,3893,15425
21/02/2020,16:20:00,113730,113755,113695,113740,5926,22721
21/02/2020,16:21:00,113740,113765,113710,113760,3503,14091
21/02/2020,16:22:00,113760,113760,113700,113700,2482,9594
21/02/2020,16:23:00,113705,113710,113655,113685,5166,19889
21/02/2020,16:24:00,113685,113715,113660,113665,2871,11580
21/02/2020,16:25:00,113670,113735,113635,113735,4623,17148
21/02/2020,16:26:00,113735,113790,113720,113785,5001,19443
21/02/2020,16:27:00,113785,113800,113765,113785,3287,13304
