Data,Hora,Abertura,Maxima,Minima,Ultima,Negocios,Volume
20/02/2020,16:30:00,115490,115560,115385,115390,38421,163010
20/02/2020,16:40:00,115395,115430,115330,115375,22161,88893
20/02/2020,16:50:00,115375,115415,115210,115220,31799,130127
20/02/2020,17:00:00,115225,115310,115050,115300,43558,182176
20/02/2020,17:10:00,115305,115305,115125,115220,28066,119947
20/02/2020,17:20:00,115220,115485,115210,115385,35927,145378
20/02/2020,17:30:00,115380,115440,115230,115255,26866,111715
20/02/2020,17:40:00,115250,115295,115130,115155,25133,105724
20/02/2020,17:50:00,115160,115230,114950,115005,38699,165415
20/02/2020,18:00:00,115000,115195,114955,114965,14174,66281
20/02/2020,18:10:00,114900,114900,114900,114900,990,9051
